receipt_line_id,receipt_ref,transaction_date,transaction_time,market_code,channel_type,contract_type,card_brand,transaction_status,transaction_type,source_capture_method,your_reference,acquirer_reference,gross_amount,net_amount,terminal_id,reservation_ref,invoice_ref,receipt_exception_type,reference_resolution_method,linked_payment_batch_line_count,linked_payment_batch_total,linked_statuses,linked_payment_batches
receipt_ref_007_line006,receipt_ref_007,2026-02-15,10:30:00,ES,CARD_PRESENT,Card Present,AMEX,Accepted,Payment,TERMINAL_EXPORT,RES 1200001080 INV 100660001080,RA00001080,459.80,459.80,POS-ES-01,1200001080,100660001080,STANDARD_PAYMENT,ACQUIRER_REFERENCE,1,459.80,MATCH,payment_batch_005
receipt_ref_002_line010,receipt_ref_002,2026-04-27,09:10:00,GB,E_COMMERCE,E-Commerce Gateway,MASTERCARD,Accepted,Payment,PORTAL_CSV,TKN000023,,448.80,448.80,WEB-GB-01,1200001023,,STANDARD_PAYMENT,GATEWAY_MAPPING,1,448.80,MATCH,payment_batch_001
receipt_ref_002_line006,receipt_ref_002,2026-04-27,10:42:00,GB,E_COMMERCE,E-Commerce Gateway,MASTERCARD,Accepted,Payment,PORTAL_CSV,TKN000019,,448.80,448.80,WEB-GB-01,1200001019,,STANDARD_PAYMENT,GATEWAY_MAPPING,1,448.80,MATCH,payment_batch_001
receipt_ref_002_line002,receipt_ref_002,2026-04-27,11:14:00,GB,E_COMMERCE,E-Commerce Gateway,MASTERCARD,Accepted,Payment,PORTAL_CSV,TKN000015,,448.80,448.80,WEB-GB-01,1200001015,,STANDARD_PAYMENT,GATEWAY_MAPPING,1,448.80,MATCH,payment_batch_001
receipt_ref_001_line011,receipt_ref_001,2026-04-28,10:17:00,GB,E_COMMERCE,E-Commerce Gateway,VISA,Accepted,Payment,PORTAL_CSV,TKN000011,,448.80,448.80,WEB-GB-01,1200001011,,STANDARD_PAYMENT,GATEWAY_MAPPING,1,448.80,MATCH,payment_batch_001
receipt_ref_001_line007,receipt_ref_001,2026-04-28,11:49:00,GB,E_COMMERCE,E-Commerce Gateway,VISA,Accepted,Payment,PORTAL_CSV,TKN000007,,448.80,448.80,WEB-GB-01,1200001007,,STANDARD_PAYMENT,GATEWAY_MAPPING,1,448.80,MATCH,payment_batch_001
receipt_ref_001_line003,receipt_ref_001,2026-04-28,12:21:00,GB,E_COMMERCE,E-Commerce Gateway,VISA,Accepted,Payment,PORTAL_CSV,TKN000003,,448.80,448.80,WEB-GB-01,1200001003,,STANDARD_PAYMENT,GATEWAY_MAPPING,1,448.80,MATCH,payment_batch_001
receipt_ref_004_line006,receipt_ref_004,2026-03-24,10:30:00,DE,CARD_PRESENT,Card Present,AMEX,Accepted,Payment,TERMINAL_EXPORT,RES 1200001053 INV 100660001053,RA00001053,223.10,223.10,POS-DE-01,1200001053,100660001053,STANDARD_PAYMENT,ACQUIRER_REFERENCE,1,223.10,MATCH,payment_batch_003
receipt_ref_005_line004,receipt_ref_005,2026-03-24,14:20:00,DE,CARD_PRESENT,Card Present,VISA,Accepted,Payment,TERMINAL_EXPORT,RES 1200001061 INV 100660001061,RA00001061,223.10,223.10,POS-DE-01,1200001061,100660001061,STANDARD_PAYMENT,ACQUIRER_REFERENCE,1,223.10,MATCH,payment_batch_003
receipt_ref_010_line007,receipt_ref_010,2026-05-02,11:35:00,DE,CARD_PRESENT,Card Present,VISA,Accepted,Payment,TERMINAL_EXPORT,RES 1200001108 INV 100660001108,RA00001108,236.10,236.10,POS-DE-01,1200001108,100660001108,STANDARD_PAYMENT,ACQUIRER_REFERENCE,1,236.10,MATCH,payment_batch_007
receipt_ref_006_line004,receipt_ref_006,2026-03-28,14:20:00,GB,CARD_PRESENT,Card Present,VISA,Accepted,Payment,TERMINAL_EXPORT,RES 1200001066 INV 100660001066,RA00001066,454.80,454.80,POS-GB-01,1200001066,100660001066,STANDARD_PAYMENT,ACQUIRER_REFERENCE,1,454.80,MATCH,payment_batch_004
receipt_ref_005_line005,receipt_ref_005,2026-03-24,15:25:00,DE,CARD_PRESENT,Card Present,VISA,Accepted,Payment,TERMINAL_EXPORT,RES 1200001062 INV 100660001062,RA00001062,330.60,330.60,POS-DE-01,1200001062,100660001062,STANDARD_PAYMENT,ACQUIRER_REFERENCE,1,330.60,MATCH,payment_batch_003
receipt_ref_010_line003,receipt_ref_010,2026-05-02,13:15:00,DE,CARD_PRESENT,Card Present,AMEX,Accepted,Payment,TERMINAL_EXPORT,RES 1200001104 INV 100660001104,RA00001104,236.10,236.10,POS-DE-01,1200001104,100660001104,STANDARD_PAYMENT,ACQUIRER_REFERENCE,1,236.10,MATCH,payment_batch_007
receipt_ref_011_line007,receipt_ref_011,2026-03-11,11:49:00,GB,E_COMMERCE,E-Commerce Gateway,VISA,Accepted,Payment,PORTAL_CSV,TKN000064,,239.10,239.10,WEB-GB-01,1200001116,,STANDARD_PAYMENT,GATEWAY_MAPPING,1,239.10,MATCH,payment_batch_008
receipt_ref_011_line003,receipt_ref_011,2026-03-11,12:21:00,GB,E_COMMERCE,E-Commerce Gateway,VISA,Accepted,Payment,PORTAL_CSV,TKN000060,,239.10,239.10,WEB-GB-01,1200001112,,STANDARD_PAYMENT,GATEWAY_MAPPING,1,239.10,MATCH,payment_batch_008
receipt_ref_011_line008,receipt_ref_011,2026-03-11,12:56:00,GB,E_COMMERCE,E-Commerce Gateway,MASTERCARD,Accepted,Payment,PORTAL_CSV,TKN000065,,342.60,342.60,WEB-GB-01,1200001117,,STANDARD_PAYMENT,GATEWAY_MAPPING,1,342.60,MATCH,payment_batch_008
receipt_ref_011_line004,receipt_ref_011,2026-03-11,13:28:00,GB,E_COMMERCE,E-Commerce Gateway,MASTERCARD,Accepted,Payment,PORTAL_CSV,TKN000061,,342.60,342.60,WEB-GB-01,1200001113,,STANDARD_PAYMENT,GATEWAY_MAPPING,1,342.60,MATCH,payment_batch_008
receipt_ref_009_line006,receipt_ref_009,2026-04-13,10:42:00,DE,E_COMMERCE,E-Commerce Gateway,MASTERCARD,Accepted,Payment,PORTAL_CSV,TKN000056,,143.40,143.40,WEB-DE-01,1200001100,,STANDARD_PAYMENT,GATEWAY_MAPPING,1,143.40,MATCH,payment_batch_006
receipt_ref_009_line002,receipt_ref_009,2026-04-13,11:14:00,DE,E_COMMERCE,E-Commerce Gateway,MASTERCARD,Accepted,Payment,PORTAL_CSV,TKN000052,,143.40,143.40,WEB-DE-01,1200001096,,STANDARD_PAYMENT,GATEWAY_MAPPING,1,143.40,MATCH,payment_batch_006
receipt_ref_008_line005,receipt_ref_008,2026-04-14,09:35:00,DE,E_COMMERCE,E-Commerce Gateway,VISA,Accepted,Payment,PORTAL_CSV,TKN000048,,143.40,143.40,WEB-DE-01,1200001092,,STANDARD_PAYMENT,GATEWAY_MAPPING,1,143.40,MATCH,payment_batch_006
receipt_ref_008_line001,receipt_ref_008,2026-04-14,10:07:00,DE,E_COMMERCE,E-Commerce Gateway,VISA,Accepted,Payment,PORTAL_CSV,TKN000044,,143.40,143.40,WEB-DE-01,1200001088,,STANDARD_PAYMENT,GATEWAY_MAPPING,1,143.40,MATCH,payment_batch_006
receipt_ref_004_line002,receipt_ref_004,2026-03-24,12:10:00,DE,CARD_PRESENT,Card Present,VISA,Accepted,Payment,TERMINAL_EXPORT,RES 1200001049 INV 100660001049,RA00001049,223.10,223.10,POS-DE-01,1200001049,100660001049,STANDARD_PAYMENT,ACQUIRER_REFERENCE,1,223.10,MATCH,payment_batch_003
receipt_ref_004_line004,receipt_ref_004,2026-03-24,14:20:00,DE,CARD_PRESENT,Card Present,VISA,Accepted,Payment,TERMINAL_EXPORT,RES 1200001051 INV 100660001051,RA00001051,519.25,519.25,POS-DE-01,1200001051,100660001051,STANDARD_PAYMENT,ACQUIRER_REFERENCE,1,519.25,MATCH,payment_batch_003
receipt_ref_004_line008,receipt_ref_004,2026-03-24,12:40:00,DE,CARD_PRESENT,Card Present,VISA,Accepted,Payment,TERMINAL_EXPORT,RES 1200001055 INV 100660001055,RA00001055,519.25,519.25,POS-DE-01,1200001055,100660001055,STANDARD_PAYMENT,ACQUIRER_REFERENCE,1,519.25,MATCH,payment_batch_003
receipt_ref_005_line002,receipt_ref_005,2026-03-24,12:10:00,DE,CARD_PRESENT,Card Present,VISA,Accepted,Payment,TERMINAL_EXPORT,RES 1200001059 INV 100660001059,RA00001059,519.25,519.25,POS-DE-01,1200001059,100660001059,STANDARD_PAYMENT,ACQUIRER_REFERENCE,1,519.25,MATCH,payment_batch_003
receipt_ref_006_line005,receipt_ref_006,2026-03-28,15:25:00,GB,CARD_PRESENT,Card Present,VISA,Accepted,Payment,TERMINAL_EXPORT,RES 1200001067 INV 100660001067,RA00001067,102.95,102.95,POS-GB-01,1200001067,100660001067,STANDARD_PAYMENT,ACQUIRER_REFERENCE,1,102.95,MATCH,payment_batch_004
receipt_ref_009_line007,receipt_ref_009,2026-04-13,11:49:00,DE,E_COMMERCE,E-Commerce Gateway,VISA,Accepted,Payment,PORTAL_CSV,TKN000057,,232.10,232.10,WEB-DE-01,1200001101,,STANDARD_PAYMENT,GATEWAY_MAPPING,1,232.10,MATCH,payment_batch_006
receipt_ref_009_line003,receipt_ref_009,2026-04-13,12:21:00,DE,E_COMMERCE,E-Commerce Gateway,VISA,Accepted,Payment,PORTAL_CSV,TKN000053,,232.10,232.10,WEB-DE-01,1200001097,,STANDARD_PAYMENT,GATEWAY_MAPPING,1,232.10,MATCH,payment_batch_006
receipt_ref_008_line006,receipt_ref_008,2026-04-14,10:42:00,DE,E_COMMERCE,E-Commerce Gateway,MASTERCARD,Accepted,Payment,PORTAL_CSV,TKN000049,,232.10,232.10,WEB-DE-01,1200001093,,STANDARD_PAYMENT,GATEWAY_MAPPING,1,232.10,MATCH,payment_batch_006
receipt_ref_008_line002,receipt_ref_008,2026-04-14,11:14:00,DE,E_COMMERCE,E-Commerce Gateway,MASTERCARD,Accepted,Payment,PORTAL_CSV,TKN000045,,232.10,232.10,WEB-DE-01,1200001089,,STANDARD_PAYMENT,GATEWAY_MAPPING,1,232.10,MATCH,payment_batch_006
receipt_ref_010_line006,receipt_ref_010,2026-05-02,10:30:00,DE,CARD_PRESENT,Card Present,AMEX,Accepted,Payment,TERMINAL_EXPORT,RES 1200001107 INV 100660001107,RA00001107,147.40,147.40,POS-DE-01,1200001107,100660001107,STANDARD_PAYMENT,ACQUIRER_REFERENCE,1,147.40,MATCH,payment_batch_007
receipt_ref_002_line005,receipt_ref_002,2026-04-27,09:35:00,GB,E_COMMERCE,E-Commerce Gateway,VISA,Accepted,Payment,PORTAL_CSV,TKN000018,,280.35,280.35,WEB-GB-01,1200001018,,STANDARD_PAYMENT,GATEWAY_MAPPING,1,280.35,MATCH,payment_batch_001
receipt_ref_002_line001,receipt_ref_002,2026-04-27,10:07:00,GB,E_COMMERCE,E-Commerce Gateway,VISA,Accepted,Payment,PORTAL_CSV,TKN000014,,280.35,280.35,WEB-GB-01,1200001014,,STANDARD_PAYMENT,GATEWAY_MAPPING,1,280.35,MATCH,payment_batch_001
receipt_ref_002_line009,receipt_ref_002,2026-04-27,13:03:00,GB,E_COMMERCE,E-Commerce Gateway,VISA,Accepted,Payment,PORTAL_CSV,TKN000022,,280.35,280.35,WEB-GB-01,1200001022,,STANDARD_PAYMENT,GATEWAY_MAPPING,1,280.35,MATCH,payment_batch_001
receipt_ref_001_line010,receipt_ref_001,2026-04-28,09:10:00,GB,E_COMMERCE,E-Commerce Gateway,MASTERCARD,Accepted,Payment,PORTAL_CSV,TKN000010,,280.35,280.35,WEB-GB-01,1200001010,,STANDARD_PAYMENT,GATEWAY_MAPPING,1,280.35,MATCH,payment_batch_001
receipt_ref_001_line006,receipt_ref_001,2026-04-28,10:42:00,GB,E_COMMERCE,E-Commerce Gateway,MASTERCARD,Accepted,Payment,PORTAL_CSV,TKN000006,,280.35,280.35,WEB-GB-01,1200001006,,STANDARD_PAYMENT,GATEWAY_MAPPING,1,280.35,MATCH,payment_batch_001
receipt_ref_001_line002,receipt_ref_001,2026-04-28,11:14:00,GB,E_COMMERCE,E-Commerce Gateway,MASTERCARD,Accepted,Payment,PORTAL_CSV,TKN000002,,280.35,280.35,WEB-GB-01,1200001002,,STANDARD_PAYMENT,GATEWAY_MAPPING,1,280.35,MATCH,payment_batch_001
receipt_ref_003_line011,receipt_ref_003,2026-04-25,10:17:00,GB,E_COMMERCE,E-Commerce Gateway,VISA,Accepted,Payment,PORTAL_CSV,TKN000042,,219.10,219.10,WEB-GB-01,1200001042,,STANDARD_PAYMENT,GATEWAY_MAPPING,1,219.10,MATCH,payment_batch_002
receipt_ref_003_line007,receipt_ref_003,2026-04-25,11:49:00,GB,E_COMMERCE,E-Commerce Gateway,VISA,Accepted,Payment,PORTAL_CSV,TKN000038,,219.10,219.10,WEB-GB-01,1200001038,,STANDARD_PAYMENT,GATEWAY_MAPPING,1,219.10,MATCH,payment_batch_002
receipt_ref_003_line003,receipt_ref_003,2026-04-25,12:21:00,GB,E_COMMERCE,E-Commerce Gateway,VISA,Accepted,Payment,PORTAL_CSV,TKN000034,,219.10,219.10,WEB-GB-01,1200001034,,STANDARD_PAYMENT,GATEWAY_MAPPING,1,219.10,MATCH,payment_batch_002
receipt_ref_002_line017,receipt_ref_002,2026-04-27,11:59:00,GB,E_COMMERCE,E-Commerce Gateway,VISA,Accepted,Payment,PORTAL_CSV,TKN000030,,219.10,219.10,WEB-GB-01,1200001030,,STANDARD_PAYMENT,GATEWAY_MAPPING,1,219.10,MATCH,payment_batch_002
receipt_ref_002_line013,receipt_ref_002,2026-04-27,12:31:00,GB,E_COMMERCE,E-Commerce Gateway,VISA,Accepted,Payment,PORTAL_CSV,TKN000026,,219.10,219.10,WEB-GB-01,1200001026,,STANDARD_PAYMENT,GATEWAY_MAPPING,1,219.10,MATCH,payment_batch_002
receipt_ref_006_line007,receipt_ref_006,2026-03-28,11:35:00,GB,CARD_PRESENT,Card Present,VISA,Accepted,Payment,TERMINAL_EXPORT,RES 1200001069 INV 100660001069,RA00001069,290.35,290.35,POS-GB-01,1200001069,100660001069,STANDARD_PAYMENT,ACQUIRER_REFERENCE,1,290.35,MATCH,payment_batch_004
receipt_ref_007_line005,receipt_ref_007,2026-02-15,15:25:00,ES,CARD_PRESENT,Card Present,VISA,Accepted,Payment,TERMINAL_EXPORT,RES 1200001079 INV 100660001079,RA00001079,291.35,291.35,POS-ES-01,1200001079,100660001079,STANDARD_PAYMENT,ACQUIRER_REFERENCE,1,291.35,MATCH,payment_batch_005
receipt_ref_003_line099,receipt_ref_003,2026-04-25,16:45:00,GB,E_COMMERCE,E-Commerce Gateway,VISA,Accepted,Chargeback,PORTAL_CSV,CHARGEBACK RES 1299999001,,-310.00,-310.00,WEB-GB-02,,,CHARGEBACK,DIRECT_RESERVATION,0,0.00,,
receipt_ref_009_line004,receipt_ref_009,2026-04-13,13:28:00,DE,E_COMMERCE,E-Commerce Gateway,MASTERCARD,Accepted,Payment,PORTAL_CSV,TKN000054,,339.60,339.60,WEB-DE-01,1200001098,,STANDARD_PAYMENT,GATEWAY_MAPPING,1,339.60,MATCH,payment_batch_006
receipt_ref_008_line007,receipt_ref_008,2026-04-14,11:49:00,DE,E_COMMERCE,E-Commerce Gateway,VISA,Accepted,Payment,PORTAL_CSV,TKN000050,,339.60,339.60,WEB-DE-01,1200001094,,STANDARD_PAYMENT,GATEWAY_MAPPING,1,339.60,MATCH,payment_batch_006
receipt_ref_008_line003,receipt_ref_008,2026-04-14,12:21:00,DE,E_COMMERCE,E-Commerce Gateway,VISA,Accepted,Payment,PORTAL_CSV,TKN000046,,339.60,339.60,WEB-DE-01,1200001090,,STANDARD_PAYMENT,GATEWAY_MAPPING,1,339.60,MATCH,payment_batch_006
receipt_ref_004_line010,receipt_ref_004,2026-03-24,14:50:00,DE,CARD_PRESENT,Card Present,VISA,Rejected,Payment,TERMINAL_EXPORT,RES 1200001057 INV 100660001057,RA00001057,223.10,223.10,POS-DE-01,1200001057,100660001057,REJECTED_CARD_TRANSACTION,ACQUIRER_REFERENCE,1,223.10,REJECTED,payment_batch_003
receipt_ref_002_line011,receipt_ref_002,2026-04-27,10:17:00,GB,E_COMMERCE,E-Commerce Gateway,VISA,Accepted,Payment,PORTAL_CSV,TKN000024,,92.95,92.95,WEB-GB-01,1200001024,,STANDARD_PAYMENT,GATEWAY_MAPPING,1,92.95,MATCH,payment_batch_001
receipt_ref_002_line007,receipt_ref_002,2026-04-27,11:49:00,GB,E_COMMERCE,E-Commerce Gateway,VISA,Accepted,Payment,PORTAL_CSV,TKN000020,,92.95,92.95,WEB-GB-01,1200001020,,STANDARD_PAYMENT,GATEWAY_MAPPING,1,92.95,MATCH,payment_batch_001
receipt_ref_002_line003,receipt_ref_002,2026-04-27,12:21:00,GB,E_COMMERCE,E-Commerce Gateway,VISA,Accepted,Payment,PORTAL_CSV,TKN000016,,92.95,92.95,WEB-GB-01,1200001016,,STANDARD_PAYMENT,GATEWAY_MAPPING,1,92.95,MATCH,payment_batch_001
receipt_ref_001_line012,receipt_ref_001,2026-04-28,11:24:00,GB,E_COMMERCE,E-Commerce Gateway,MASTERCARD,Accepted,Payment,PORTAL_CSV,TKN000012,,92.95,92.95,WEB-GB-01,1200001012,,STANDARD_PAYMENT,GATEWAY_MAPPING,1,92.95,MATCH,payment_batch_001
receipt_ref_001_line008,receipt_ref_001,2026-04-28,12:56:00,GB,E_COMMERCE,E-Commerce Gateway,MASTERCARD,Accepted,Payment,PORTAL_CSV,TKN000008,,92.95,92.95,WEB-GB-01,1200001008,,STANDARD_PAYMENT,GATEWAY_MAPPING,1,92.95,MATCH,payment_batch_001
receipt_ref_001_line004,receipt_ref_001,2026-04-28,13:28:00,GB,E_COMMERCE,E-Commerce Gateway,MASTERCARD,Accepted,Payment,PORTAL_CSV,TKN000004,,92.95,92.95,WEB-GB-01,1200001004,,STANDARD_PAYMENT,GATEWAY_MAPPING,1,92.95,MATCH,payment_batch_001
receipt_ref_003_line010,receipt_ref_003,2026-04-25,09:10:00,GB,E_COMMERCE,E-Commerce Gateway,MASTERCARD,Accepted,Payment,PORTAL_CSV,TKN000041,,130.40,130.40,WEB-GB-01,1200001041,,STANDARD_PAYMENT,GATEWAY_MAPPING,1,130.40,MATCH,payment_batch_002
